id,name,description,latitude,longitude,city,region,category,activities,estimated_cost,avg_duration_hours,mood_tags,rating
219,Ishkoman River,A river flowing through the Ishkoman Valley known for trout fishing.,36.458715,73.840267,Ghizer,Gilgit-Baltistan,River,Photography; Sightseeing; Fishing,500 PKR,2,friends; solo; adventurous; peaceful,5.0
220,Phander Valley Meadows,Expansive green meadows around Phander Lake ideal for camping and photography.,35.982838,74.920822,Phander,Gilgit-Baltistan,Meadow,Hiking; Camping; Photography; Picnicking; Stargazing,500 PKR,4,family; couple; friends; adventurous; relaxed; peaceful; romantic; meditative,4.7
221,Langar Village (Ghizer),A small traditional village in Ghizer offering glimpses of authentic mountain life.,36.351932,73.83021,Ghizer,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,5.0
222,Shandur Polo Festival Ground,The specific ground where the annual Shandur Polo Festival takes place every July.,36.071,72.515,Ghizer,Gilgit-Baltistan,Adventure Spot,Camping; Photography; Cultural Tours; Polo Watching,500 PKR,4,family; friends; adventurous; thrilling; energetic; peaceful; cultural; educational,5.0
223,Barsat Meadow,A lush alpine meadow in Ghizer used for summer grazing with panoramic peak views.,36.324397,73.41366,Ghizer,Gilgit-Baltistan,Meadow,Hiking; Camping; Photography; Picnicking; Stargazing,500 PKR,4,friends; adventurous; relaxed; peaceful; romantic; meditative,4.7
224,Phander Trout Hatchery,A trout breeding facility near Phander Lake where visitors can observe fish farming.,36.164765,72.925499,Phander,Gilgit-Baltistan,Park,Photography; Fishing; Walking; Picnicking,300 PKR,1,family; relaxed; educational,5.0
225,Phander Campsite,A designated camping area beside Phander Lake with mountain and lake views.,36.169086,72.938469,Phander,Gilgit-Baltistan,Camping Site,Hiking; Camping; Photography; Stargazing,500 PKR,4,family; friends; adventurous; relaxed; peaceful; romantic; meditative,5.0
226,Gahkuch Bazaar,The main marketplace of Gahkuch town offering local produce and handicrafts.,36.18591,73.7592,Gahkuch,Gilgit-Baltistan,Market,White-water Rafting; Shopping; Food Tasting,500 PKR,2,family; friends; adventurous; thrilling; energetic; laid-back; festive,4.2
227,Tern Meadow,A high-altitude meadow in Ghizer accessible via a day trek from nearby villages.,36.324397,73.41366,Ghizer,Gilgit-Baltistan,Meadow,Trekking; Hiking; Camping; Photography; Picnicking; Stargazing,500 PKR,4,family; couple; friends; adventurous; energetic; relaxed; peaceful; romantic; meditative,4.7
228,Rama Lake,A stunning emerald lake at 3300m in Astore Valley surrounded by forests and the Nanga Parbat massif.,0.000000,0.000000,Astore,Gilgit-Baltistan,Lake,Hiking; Camping; Photography; Fishing; Picnicking,800 PKR,3,family; friends; relaxed; peaceful; adventurous,4.4
229,Rama Meadow,A vast alpine meadow near Rama Lake with camping spots and views of Nanga Parbat.,35.359307,74.834829,Astore,Gilgit-Baltistan,Meadow,Hiking; Camping; Photography; Picnicking; Stargazing,500 PKR,4,family; friends; couple; peaceful; relaxed,4.7
230,Nanga Parbat Base Camp (Rupal),"The base camp on the Rupal face of Nanga Parbat, the 9th highest peak in the world.",35.356615,74.85698,Astore,Gilgit-Baltistan,Adventure Spot,Trekking; Mountaineering; Camping; Photography,3000 PKR,48,solo; friends; adventurous; energetic,4.8
231,Nanga Parbat Viewpoint (Fairy Meadows Road),A viewpoint offering dramatic close-up views of the 8126m Nanga Parbat.,35.387203,74.578929,Astore,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.8
232,Astore Valley,A lush green valley in the shadow of Nanga Parbat with forests and traditional villages.,0.000000,0.000000,Astore,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful; meditative,4.3
233,Astore Village,The main town of Astore district with a bazaar and gateway to Nanga Parbat treks.,35.360815,74.86516,Astore,Gilgit-Baltistan,Village,Trekking; Photography; Shopping; Cultural Tours; Village Walks,0 PKR,2,family; couple; adventurous; energetic; laid-back; peaceful; cultural; educational; festive,4.8
234,Minimarg Valley,A scenic valley in Astore known for its vast meadows and potato farming.,34.7919,75.0805,Astore,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful,4.8
235,Chilum Valley,A beautiful side valley in Astore with terraced fields and traditional settlements.,35.982838,74.920822,Astore,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful,4.7
236,Gudai Village,A picturesque village in Astore with views of snow-capped peaks and terraced agriculture.,35.356615,74.85698,Astore,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,peaceful; cultural; educational,4.8
237,Rattu Village,The former princely state capital of Astore with a historic fort and palace ruins.,35.356615,74.85698,Astore,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.8
238,Rattu Fort Ruins,Remnants of the fort of the former rulers of Astore princely state.,35.356615,74.85698,Astore,Gilgit-Baltistan,Fort,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.6
239,Rupal Valley,"A valley at the base of the Rupal Face of Nanga Parbat, the highest rock face on Earth.",35.21877,74.70264,Astore,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful,4.8
240,Tarishing Village,The last village on the road to Nanga Parbat's Rupal Face with mountaineering heritage.,35.356615,74.85698,Astore,Gilgit-Baltistan,Village,Mountaineering; Photography; Cultural Tours; Village Walks,1500 PKR,3,solo; friends; adventurous; cultural,4.8
241,Deosai Entry Point (Astore Side),The Astore entrance to Deosai National Park with dramatic elevation changes.,35.356615,74.85698,Astore,Gilgit-Baltistan,Park,Photography; Walking; Picnicking,1000 PKR,3,family; couple; friends; relaxed; peaceful,4.5
242,Mushkin Valley,A remote valley in Astore with alpine forests and seasonal waterfalls.,35.356615,74.85698,Astore,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; solo; relaxed; peaceful; meditative,4.1
243,Eid Gah Village (Astore),A traditional Astore village known for its spring blossoms and serene atmosphere.,35.356615,74.85698,Astore,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; romantic; cultural; educational,4.8
244,Astore River,A fast-flowing river through Astore Valley popular for its trout fishing and rafting potential.,35.356615,74.85698,Astore,Gilgit-Baltistan,River,Photography; Fishing; White-water Rafting,2000 PKR,3,friends; family; adventurous; relaxed,4.8
245,Rama Forest,Dense coniferous forests surrounding Rama Lake ideal for nature walks and birdwatching.,35.356615,74.85698,Astore,Gilgit-Baltistan,Forest,Hiking; Photography; Birdwatching; Nature Walks,0 PKR,3,family; couple; solo; relaxed; peaceful; meditative,4.8
246,Dashkin Valley,A little-explored valley in Astore with seasonal streams and wildflower meadows.,35.47405,74.77529,Astore,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful,5.0
247,Harcho Meadow,A large alpine meadow in Astore used for summer grazing with camping opportunities.,35.356615,74.85698,Astore,Gilgit-Baltistan,Meadow,Hiking; Camping; Photography; Picnicking; Stargazing,500 PKR,4,family; couple; friends; adventurous; relaxed; peaceful; romantic; meditative,4.7
248,Nanga Parbat Rupal Face Viewpoint,"A dramatic viewpoint of the Rupal Face, the largest mountain face in the world at 4600m.",35.356615,74.85698,Astore,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.8
249,Upper Rama Valley,The upper reaches of Rama Valley with glacial moraines and high-altitude flora.,35.356615,74.85698,Astore,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful,5.0
250,Gorikot Village,A village near the start of the Rupal Valley road known for its mountain views.,35.356615,74.85698,Astore,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.8
251,Churit Valley,A scenic valley near Astore with seasonal waterfalls and lush vegetation.,35.23305,74.76531,Astore,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful,5.0
252,Astore Hot Springs,Natural thermal springs in the Astore region used for therapeutic bathing.,35.356615,74.85698,Astore,Gilgit-Baltistan,Hot Spring,Photography; Hot Spring Bathing; Relaxation,300 PKR,1.5,family; couple; relaxed; peaceful,4.4
253,Fairy Meadows,"A lush green meadow at 3300m offering iconic views of Nanga Parbat's Raikot Face, a top destination.",35.422184,74.094630,Diamer,Gilgit-Baltistan,Meadow,Trekking; Hiking; Camping; Photography; Horse Riding; Picnicking; Stargazing,1500 PKR,8,friends; solo; couple; adventurous; romantic; peaceful; meditative,4.5
254,Nanga Parbat Viewpoint (Raikot Bridge),A viewpoint on the KKH at Raikot Bridge offering distant views of the Killer Mountain.,35.49296,74.591901,Diamer,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.4
255,Beyal Camp,A camp between Fairy Meadows and Nanga Parbat Base Camp with closer peak views.,35.862742,76.540925,Diamer,Gilgit-Baltistan,Camping Site,Hiking; Camping; Photography; Stargazing,500 PKR,10,friends; adventurous; relaxed; peaceful; romantic; meditative,4.5
256,Nanga Parbat Base Camp (Raikot),The base camp on the Raikot side of Nanga Parbat accessible from Fairy Meadows.,35.37,74.56,Diamer,Gilgit-Baltistan,Adventure Spot,Trekking; Mountaineering; Camping; Photography,3000 PKR,48,solo; friends; adventurous; energetic,4.8
257,Tattu Village (Fairy Meadows Trailhead),The starting point of the jeep track and hike to Fairy Meadows.,35.45,74.59,Diamer,Gilgit-Baltistan,Village,Hiking; Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; adventurous; energetic; peaceful; cultural; educational,4.2
258,Raikot Glacier,A large glacier on the north face of Nanga Parbat visible from Fairy Meadows.,35.49296,74.591901,Diamer,Gilgit-Baltistan,Glacier,Trekking; Photography; Ice Hiking,2000 PKR,4,solo; friends; adventurous; energetic,4.5
259,Chilas Town,The capital of Diamer District on the KKH known for its petroglyphs and extreme summer heat.,35.416408,74.098411,Chilas,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.5
260,Chilas Rock Carvings,Thousands of ancient petroglyphs near Chilas depicting Buddhist and pre-Buddhist era art.,35.433921,74.08649,Chilas,Gilgit-Baltistan,Archaeological Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.5
261,Thalpan Rock Art,A major petroglyph site near Chilas with carvings spanning multiple historical periods.,35.43,74.08,Chilas,Gilgit-Baltistan,Archaeological Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; relaxed; romantic; cultural; educational,4.5
262,Babusar Pass,"A scenic mountain pass at 4173m connecting KPK with Gilgit-Baltistan, open in summer months.",35.146107,74.046585,Diamer,Gilgit-Baltistan,Pass,Photography; Sightseeing; Driving,0 PKR,1.5,family; friends; couple; adventurous; peaceful,4.5
263,Lulusar Lake,A beautiful alpine lake near Babusar Pass surrounded by alpine meadows and peaks.,35.001835,73.150665,Diamer,Gilgit-Baltistan,Lake,Photography; Sightseeing; Picnicking,0 PKR,2.5,friends; relaxed; peaceful; meditative,4.6
264,Nanga Parbat Viewpoint (KKH),Multiple KKH viewpoints offering different angles of the 8126m Nanga Parbat.,35.57188,74.629593,Diamer,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.8
265,Raikot Bridge,The famous bridge over the Indus River on the KKH where the Fairy Meadows road starts.,35.49296,74.591901,Diamer,Gilgit-Baltistan,Bridge,Photography; Walking,0 PKR,0.5,friends; solo; adventurous; thrilling,4.4
266,Chilas Hot Springs,Natural hot water springs near Chilas used by travelers for relaxation.,34.780473,77.542497,Chilas,Gilgit-Baltistan,Hot Spring,Photography; Hot Spring Bathing; Relaxation,300 PKR,1.5,family; couple; relaxed; peaceful,4.4
267,Indus River Gorge (Chilas),A dramatic section of the Indus River gorge near Chilas with towering cliffs.,35.4,74.12,Chilas,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.5
268,Tangir Valley,A remote valley in Diamer with terraced farms and traditional Shina-speaking communities.,35.631802,73.45471,Diamer,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,friends; solo; relaxed; peaceful,5.0
269,Darel Valley,A scenic valley in Diamer with dense forests and isolated mountain communities.,35.631802,73.45471,Diamer,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful; meditative,4.1
270,Fairy Point,The highest point on the Fairy Meadows trail offering unobstructed views of Nanga Parbat.,35.462925,74.592649,Diamer,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.5
271,Jijal Village,A village near Chilas on the old KKH route with views of the Indus River valley.,36.351932,73.83021,Diamer,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.2
272,Babusar Meadow,Alpine meadows near Babusar Pass with wildflowers and panoramic views.,35.21362,73.99616,Diamer,Gilgit-Baltistan,Meadow,Hiking; Camping; Photography; Picnicking; Stargazing,500 PKR,3,family; friends; peaceful; relaxed,4.5
273,Fairy Meadows Forest,Dense pine and birch forests on the trail to Fairy Meadows with filtered sunlight.,35.386919,74.57866,Diamer,Gilgit-Baltistan,Forest,Hiking; Photography; Birdwatching; Nature Walks,0 PKR,3,family; couple; solo; relaxed; peaceful; meditative,4.5
274,Gonar Farm,A pastoral area near Chilas with traditional livestock farming and rural scenery.,33.728123,73.255933,Chilas,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,1,family; couple; peaceful; cultural; educational,4.2
275,Khaplu Palace (Chaqchan),"A restored 19th-century palace of the former Raja of Khaplu, now a heritage hotel.",35.152109,76.33537,Khaplu,Gilgit-Baltistan,Fort,Photography; Sightseeing; Dining; History Tours,200 PKR,1.5,family; couple; cultural; educational,4.2
276,Chaqchan Mosque (Khaplu),A 14th-century mosque with unique Tibetan-Balti architecture and intricate wood carvings.,35.155998,76.330344,Khaplu,Gilgit-Baltistan,Mosque,Photography; Sightseeing,0 PKR,0.5,family; peaceful; cultural; educational; spiritual,4.2
277,Khaplu Village,"The capital of Ghanche District with ancient mosques, palaces, and Balti cultural heritage.",35.159019,76.348473,Khaplu,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.2
278,Masherbrum Viewpoint,A viewpoint near Khaplu offering views of the majestic 7821m Masherbrum (K1) peak.,35.155277,76.41456,Khaplu,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,solo; peaceful; romantic,4.2
279,Khaplu Bazaar,The traditional market of Khaplu town offering local Balti crafts and dried fruits.,35.199502,75.983845,Khaplu,Gilgit-Baltistan,Market,White-water Rafting; Shopping; Food Tasting,500 PKR,2,family; friends; adventurous; thrilling; energetic; laid-back; festive,4.2
280,Thagus Valley,A remote valley near Khaplu with pristine scenery and traditional Balti villages.,35.208407,76.393585,Khaplu,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; solo; relaxed; peaceful,4.2
281,Hushe River,A glacier-fed river near Khaplu flowing from the Karakoram glaciers.,35.45026,76.35811,Khaplu,Gilgit-Baltistan,River,Photography; Sightseeing,0 PKR,2,friends; relaxed; peaceful,4.4
282,Saling Village,A remote village in Ghanche offering authentic Balti cultural experiences.,35.188545,76.371049,Khaplu,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; solo; peaceful; cultural; educational,4.2
283,Balghar Village,A small Ghanche village with traditional architecture overlooking river valleys.,36.351932,73.83021,Khaplu,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.2
284,Keris Village,An isolated village in Ghanche known for its apricot orchards and terraced farming.,36.351932,73.83021,Khaplu,Gilgit-Baltistan,Village,Photography; Walking; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.2
285,Machulo Village,A village in the Hushe Valley serving as a basecamp for climbers heading to Laila Peak.,35.243418,76.397845,Khaplu,Gilgit-Baltistan,Village,Photography; Rock Climbing; Cultural Tours; Village Walks,1500 PKR,2,adventurous; energetic; peaceful; cultural; educational,4.2
286,Laila Peak Viewpoint,Viewpoint for the stunning 6096m Laila Peak with its dramatic pyramid shape.,35.956526,74.961575,Khaplu,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,solo; peaceful; romantic,4.0
287,Gondogoro La Trailhead,Starting point for the challenging Gondogoro Pass trek connecting Hushe to the Baltoro.,35.982838,74.920822,Khaplu,Gilgit-Baltistan,Adventure Spot,Trekking; Photography,0 PKR,2.5,family; friends; adventurous; thrilling; energetic,4.2
288,Ghanche Rock Art Sites,Various rock carving sites in Ghanche featuring ancient Tibetan and Buddhist inscriptions.,36.389519,74.866184,Khaplu,Gilgit-Baltistan,Archaeological Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.2
289,Khaplu Khanqah,A historic Islamic spiritual center in Khaplu with traditional wooden architecture.,35.2077,76.12681,Khaplu,Gilgit-Baltistan,Religious Site,Photography; Sightseeing,0 PKR,2,family; friends; relaxed; cultural; educational,4.2
290,Siachen Glacier Viewpoint,A distant viewpoint where the massive Siachen Glacier region can be partially observed.,35.526189,76.940389,Khaplu,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,solo; peaceful; romantic,4.2
291,Doko Village,A traditional village in Ghanche with ancient wooden houses and mountain views.,36.351932,73.83021,Khaplu,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.2
292,Skardu-Khaplu Road Viewpoints,Multiple scenic viewpoints along the road from Skardu to Khaplu following the Indus and Shyok rivers.,35.982838,74.920822,Khaplu,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,4.5
293,Shyok River Valley,The valley of the Shyok River near Khaplu with dramatic canyon formations.,35.982838,74.920822,Khaplu,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful,4.7
294,Ghowari Village,A remote Ghanche village with stunning views and traditional way of life.,36.351932,73.83021,Khaplu,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; solo; peaceful; cultural; educational,4.2
295,Talis Valley,A scenic valley in Ghanche district with forests and mountain streams.,35.205805,76.49558,Khaplu,Gilgit-Baltistan,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful; meditative,5.0
296,Khaplu Ancient Cemetery,A historic graveyard in Khaplu with intricately carved wooden grave markers.,35.1485,76.33,Khaplu,Gilgit-Baltistan,Historical Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.2
297,Kande Village,A village near Khaplu with traditional watermills and Balti architecture.,36.351932,73.83021,Khaplu,Gilgit-Baltistan,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.2
298,Malam Jabba Ski Resort,Pakistan's most popular ski resort in the Swat Valley offering skiing and chairlift rides.,34.800938,72.574165,Swat,Khyber Pakhtunkhwa,Adventure Spot,Skiing; Photography; Chairlift Ride; Zip Lining; Mountain Biking,3000 PKR,5,friends; family; adventurous; thrilling; energetic,4.3
299,Fizagat Park,A scenic public park on the banks of the Swat River in Mingora with gardens and walking paths.,34.772537,72.360771,Mingora,Khyber Pakhtunkhwa,Park,Photography; Walking; Picnicking,50 PKR,2,family; couple; relaxed; peaceful,4.4
300,Swat Museum,A museum in Saidu Sharif showcasing Gandhara Buddhist sculptures and artifacts from the Swat region.,0.000000,0.000000,Mingora,Khyber Pakhtunkhwa,Museum,Photography; Sightseeing; Museum Visit,100 PKR,1.5,family; couple; cultural; educational,4.6
301,Butkara Archaeological Site,Ruins of a major Buddhist stupa complex dating to the 3rd century BC near Mingora.,34.772537,72.360771,Mingora,Khyber Pakhtunkhwa,Archaeological Site,Photography; Sightseeing; History Tours,50 PKR,1.5,family; couple; cultural; educational,4.0
302,Mahodand Lake,A stunning glacial lake near Kalam surrounded by snow-capped peaks and pine forests.,35.708090,72.653970,Kalam,Khyber Pakhtunkhwa,Lake,Camping; Photography; Boating; Fishing; Horse Riding; Picnicking,1500 PKR,4,family; friends; couple; adventurous; peaceful; romantic,4.4
303,Kalam Valley,"A major tourist valley in upper Swat known for its forests, waterfalls, and alpine scenery.",34.955162,72.484512,Kalam,Khyber Pakhtunkhwa,Valley,Hiking; Camping; Photography; Sightseeing; Fishing; Nature Walks,800 PKR,6,family; friends; couple; relaxed; peaceful; adventurous,4.1
304,Ushu Forest,A dense coniferous forest near Kalam known as one of the most beautiful forests in Pakistan.,35.486108,72.584579,Kalam,Khyber Pakhtunkhwa,Forest,Hiking; Photography; Birdwatching; Nature Walks; Picnicking,0 PKR,3,family; couple; solo; peaceful; meditative,4.6
305,Bahrain Town,A popular tourist town on the Swat River serving as a gateway to Kalam and upper Swat.,35.20926,72.5485,Bahrain,Khyber Pakhtunkhwa,Village,Photography; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational,4.3
306,Bahrain Bazaar,"A bustling market in Bahrain town offering local honey, handicrafts, and gemstones.",34.937253,72.469319,Bahrain,Khyber Pakhtunkhwa,Market,White-water Rafting; Shopping; Food Tasting,500 PKR,1.5,family; friends; laid-back; festive,4.2
307,Madyan Village,A picturesque village between Bahrain and Mingora famous for its riverside restaurants and embroidery.,34.610501,72.022409,Madyan,Khyber Pakhtunkhwa,Village,Photography; Cultural Tours; Village Walks; Handicraft Shopping,0 PKR,2,family; couple; peaceful; cultural; educational,4.0
308,Madyan Bazaar,A colorful market in Madyan known for its traditional Swati embroidered shawls and handicrafts.,34.197999,72.164148,Madyan,Khyber Pakhtunkhwa,Market,White-water Rafting; Shopping; Food Tasting,500 PKR,1.5,family; friends; laid-back,4.2
309,Swat River Viewpoint,Multiple viewpoints along the emerald-green Swat River as it flows through the valley.,34.772537,72.360771,Mingora,Khyber Pakhtunkhwa,Viewpoint,Photography; Sightseeing,0 PKR,1,family; couple; solo; peaceful; romantic,5.0
310,Mingora City,The largest city in Swat Valley and the commercial hub with markets and historical sites.,34.770392,72.359687,Mingora,Khyber Pakhtunkhwa,Village,Photography; Shopping; Cultural Tours; Village Walks,0 PKR,2,family; couple; laid-back; peaceful; cultural; educational; festive,4.2
311,Saidu Sharif,The former capital of the Swat princely state with the royal palace and museum.,34.759,72.357009,Mingora,Khyber Pakhtunkhwa,Historical Site,Photography; Sightseeing; History Tours; Museum Visit,200 PKR,1.5,family; couple; cultural; educational,4.4
312,Swat Royal Palace,"The palace of the former Wali (ruler) of Swat in Saidu Sharif, a grand historical building.",34.772537,72.360771,Mingora,Khyber Pakhtunkhwa,Historical Site,Photography; Sightseeing; History Tours,200 PKR,1.5,family; couple; cultural; educational,5.0
313,Jahanabad Buddha,A large rock carving of Buddha near Manglaur dating back to the Gandhara civilization.,34.811511,72.467351,Swat,Khyber Pakhtunkhwa,Archaeological Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.0
314,Shingardar Stupa,A well-preserved Buddhist stupa near Barikot in lower Swat dating to the Gandhara period.,34.69532,72.24647,Swat,Khyber Pakhtunkhwa,Archaeological Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,5.0
315,Barikot (Bazira) Archaeological Site,Ancient city ruins identified as Alexander the Great's Bazira in lower Swat.,34.67768,72.223,Swat,Khyber Pakhtunkhwa,Archaeological Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational,4.3
316,Marghazar White Palace,A historic summer palace of the Swat royalty set in lush gardens with mountain backdrop.,34.663276,72.344862,Mingora,Khyber Pakhtunkhwa,Historical Site,Photography; Sightseeing; Walking; History Tours,200 PKR,1.5,family; couple; cultural; educational,4.4
317,Marghazar Valley,A green valley near Mingora known for the White Palace and natural springs.,34.774595,72.36205,Mingora,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful,4.6
318,Miandam Village,"A hill station village near Mingora known for its orchards, forests, and cool climate.",35.062844,72.525782,Swat,Khyber Pakhtunkhwa,Village,Photography; Walking; Cultural Tours; Village Walks,0 PKR,2,family; couple; peaceful; cultural; educational; meditative,4.2
319,Miandam Waterfall,A beautiful waterfall near Miandam village accessible via a short forest hike.,35.062193,72.518131,Swat,Khyber Pakhtunkhwa,Waterfall,Hiking; Photography; Sightseeing,0 PKR,1,family; couple; friends; adventurous; energetic; peaceful; romantic; meditative,4.5
320,Jarogo Waterfall,A stunning waterfall near Bahrain accessible by a trek through forested hills.,35.2,72.54,Bahrain,Khyber Pakhtunkhwa,Waterfall,Trekking; Hiking; Photography; Sightseeing,0 PKR,1,family; couple; friends; adventurous; energetic; peaceful; romantic; meditative,4.5
321,Kandol Lake,A high-altitude glacial lake near Kalam accessible via a challenging day trek.,34.955162,72.484512,Kalam,Khyber Pakhtunkhwa,Lake,Trekking; Photography; Sightseeing; Picnicking,0 PKR,2.5,family; couple; friends; adventurous; energetic; relaxed; peaceful,4.5
322,Kundol Lake,A scenic alpine lake in Swat surrounded by peaks accessible from Utror Valley.,35.486108,72.584579,Kalam,Khyber Pakhtunkhwa,Lake,Trekking; Photography; Sightseeing; Picnicking,0 PKR,2.5,friends; relaxed; peaceful; meditative,4.7
323,Utror Valley,A beautiful valley branching off from Kalam with lush forests and mountain scenery.,34.955162,72.484512,Kalam,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful; meditative,4.1
324,Gabral Valley,A scenic valley near Kalam with pine forests and crystal-clear streams.,35.47954,72.59324,Kalam,Khyber Pakhtunkhwa,Valley,Hiking; Photography; Sightseeing; Nature Walks,0 PKR,5,family; couple; friends; relaxed; peaceful; meditative,4.6
325,Swat River Trout Fishing,Designated fishing spots along the Swat River known for brown and rainbow trout.,34.62942,71.992654,Swat,Khyber Pakhtunkhwa,Adventure Spot,Photography; Fishing,500 PKR,2.5,family; friends; adventurous; thrilling; energetic; relaxed; peaceful,3.0
326,Spin Khwar Waterfall,A dramatic waterfall in upper Swat with a deep pool at its base.,35.45419,72.43624,Swat,Khyber Pakhtunkhwa,Waterfall,Hiking; Photography; Sightseeing,0 PKR,1,family; couple; friends; peaceful; romantic,4.5
327,Chail Waterfall,A cascading waterfall near the road between Bahrain and Kalam.,34.45473,72.00365,Swat,Khyber Pakhtunkhwa,Waterfall,Hiking; Photography; Sightseeing,0 PKR,1,family; couple; friends; peaceful; romantic,5.0
328,Daral Lake,A remote glacial lake in upper Swat accessible via a multi-day trek.,35.433695,72.451823,Swat,Khyber Pakhtunkhwa,Lake,Trekking; Photography; Sightseeing; Picnicking,0 PKR,24,family; couple; friends; solo; adventurous; energetic; relaxed; peaceful,4.5
